Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Kohl's;1185732;14/03/2020;Northeast;New York;New York;Men's Apparel;60.00;925;55500.00;16650.00;0.3;Outlet
Kohl's;1185732;15/03/2020;Northeast;New York;New York;Women's Apparel;65.00;1.100;71500.00;17875.00;0.25;Outlet
Kohl's;1185732;16/03/2020;Northeast;New York;New York;Men's Street Footwear;60.00;1.250;75000.00;37500.00;0.5;Outlet
Kohl's;1185732;17/03/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;1.025;56375.00;16912.50;0.3;Outlet
Kohl's;1185732;18/03/2020;Northeast;New York;New York;Women's Street Footwear;50.00;950;47500.00;16625.00;;Outlet
Kohl's;1185732;31/03/2020;Northeast;New York;New York;Women's Athletic Footwear;50.00;925;46250.00;16187.50;0.35;Outlet
Kohl's;1185732;17/04/2020;Northeast;New York;New York;Men's Apparel;60.00;900;54000.00;16200.00;0.3;Outlet
Kohl's;1185732;18/04/2020;Northeast;New York;New York;Women's Apparel;65.00;1.075;69875.00;17468.75;0.25;Outlet
Kohl's;1185732;19/04/2020;Northeast;New York;New York;Men's Street Footwear;60.00;1.200;72000.00;36000.00;0.5;Outlet
Kohl's;1185732;20/04/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;1.000;55000.00;16500.00;0.3;Outlet
Kohl's;1185732;21/04/2020;Northeast;New York;New York;Women's Street Footwear;50.00;925;46250.00;16187.50;0.35;Outlet
Kohl's;1185732;22/04/2020;Northeast;New York;New York;Women's Athletic Footwear;50.00;900;45000.00;15750.00;0.35;Outlet
Kohl's;1185732;23/04/2020;Northeast;New York;New York;Men's Apparel;60.00;900;54000.00;16200.00;0.3;Outlet
Kohl's;1185732;24/04/2020;Northeast;New York;New York;Women's Apparel;65.00;1.000;65000.00;16250.00;0.25;Outlet
Kohl's;1185732;25/04/2020;Northeast;New York;New York;Men's Apparel;65.00;875;56875.00;17062.50;0.3;Outlet
Kohl's;1185732;26/04/2020;Northeast;New York;New York;Women's Apparel;70.00;1.000;70000.00;17500.00;0.25;Outlet
Kohl's;1185732;27/04/2020;Northeast;New York;New York;Men's Street Footwear;65.00;1.150;74750.00;37375.00;0.5;Outlet
Kohl's;1185732;28/04/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;975;53625.00;16087.50;0.3;Outlet
Kohl's;1185732;29/04/2020;Northeast;New York;New York;Women's Street Footwear;55.00;920;50600.00;17710.00;0.35;Outlet
Kohl's;1185732;30/04/2020;Northeast;New York;New York;Women's Athletic Footwear;55.00;900;49500.00;17325.00;0.35;Outlet
Kohl's;1185732;01/05/2020;Northeast;New York;New York;Men's Apparel;65.00;875;56875.00;17062.50;0.3;Outlet
Kohl's;1185732;02/05/2020;Northeast;New York;New York;Women's Apparel;70.00;975;68250.00;17062.50;;Outlet
Kohl's;1185732;03/05/2020;Northeast;New York;New York;Men's Street Footwear;65.00;1.200;78000.00;39000.00;0.5;Outlet
Kohl's;1185732;04/05/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;1.000;55000.00;16500.00;0.3;Outlet
Kohl's;1185732;05/05/2020;Northeast;New York;New York;Women's Street Footwear;55.00;950;52250.00;18287.50;0.35;Outlet
Kohl's;1185732;06/05/2020;Northeast;New York;New York;Women's Athletic Footwear;55.00;900;49500.00;17325.00;0.35;Outlet
Kohl's;1185732;07/05/2020;Northeast;New York;New York;Men's Apparel;65.00;900;58500.00;17550.00;0.3;Outlet
Kohl's;1185732;18/07/2020;Northeast;New York;New York;Women's Apparel;70.00;1.000;70000.00;17500.00;0.25;Outlet
Kohl's;1197831;19/07/2020;Northeast;New York;New York;Men's Street Footwear;25.00;900;22500.00;7875.00;0.35;Outlet
Kohl's;1197831;20/07/2020;Northeast;New York;New York;Men's Athletic Footwear;35.00;900;31500.00;11025.00;0.35;Outlet
Kohl's;1197831;21/07/2020;Northeast;New York;New York;Women's Street Footwear;35.00;700;24500.00;8575.00;0.35;Outlet
Kohl's;1197831;22/07/2020;Northeast;New York;New York;Women's Athletic Footwear;35.00;700;24500.00;11025.00;0.45;Outlet
Kohl's;1197831;23/07/2020;South;Texas;Houston;Men's Apparel;40.00;550;22000.00;6600.00;0.3;Outlet
Kohl's;1197831;24/07/2020;South;Texas;Houston;Women's Apparel;35.00;700;24500.00;12250.00;0.5;Outlet
Kohl's;1197831;25/07/2020;South;Texas;Houston;Men's Street Footwear;25.00;850;21250.00;7437.50;0.35;Outlet
Kohl's;1197831;26/07/2020;South;Texas;Houston;Men's Athletic Footwear;35.00;850;29750.00;10412.50;0.35;Outlet
Kohl's;1197831;27/07/2020;South;Texas;Houston;Women's Street Footwear;35.00;675;23625.00;8268.75;0.35;Outlet
Kohl's;1197831;28/07/2020;South;Texas;Houston;Women's Athletic Footwear;35.00;625;21875.00;9843.75;0.45;Outlet
Kohl's;1197831;29/07/2020;South;Texas;Houston;Men's Apparel;40.00;500;20000.00;6000.00;0.3;Outlet
Kohl's;1197831;30/07/2020;South;Texas;Houston;Women's Apparel;35.00;700;24500.00;12250.00;0.5;Outlet
Kohl's;1197831;31/07/2020;South;Texas;Houston;Men's Street Footwear;30.00;875;26250.00;9187.50;0.35;Outlet
Kohl's;1197831;01/08/2020;South;Texas;Houston;Men's Athletic Footwear;40.00;875;35000.00;12250.00;0.35;Outlet
Kohl's;1197831;02/08/2020;South;Texas;Houston;Women's Street Footwear;35.00;700;24500.00;8575.00;0.35;Outlet
Kohl's;1197831;03/08/2020;South;Texas;Houston;Women's Athletic Footwear;40.00;600;24000.00;10800.00;0.45;Outlet
Kohl's;1197831;04/08/2020;South;Texas;Houston;Men's Apparel;45.00;500;22500.00;6750.00;0.3;Outlet
Kohl's;1197831;05/08/2020;South;Texas;Houston;Women's Apparel;40.00;650;26000.00;13000.00;0.5;Outlet
Kohl's;1197831;06/08/2020;South;Texas;Houston;Men's Street Footwear;30.00;900;27000.00;9450.00;0.35;Outlet
Kohl's;1197831;07/08/2020;South;Texas;Houston;Men's Athletic Footwear;40.00;900;36000.00;12600.00;0.35;Outlet
Kohl's;1197831;08/08/2020;South;Texas;Houston;Women's Street Footwear;35.00;725;25375.00;8881.25;0.35;Outlet
Kohl's;1197831;09/08/2020;South;Texas;Houston;Women's Athletic Footwear;40.00;625;25000.00;11250.00;0.45;Outlet
Kohl's;1197831;10/08/2020;South;Texas;Houston;Men's Apparel;45.00;525;23625.00;7087.50;0.3;Outlet
Kohl's;1197831;11/08/2020;South;Texas;Houston;Women's Apparel;40.00;800;32000.00;16000.00;0.5;Outlet
Kohl's;1197831;12/08/2020;South;Texas;Houston;Men's Street Footwear;30.00;925;27750.00;9712.50;0.35;Outlet
Kohl's;1197831;13/08/2020;South;Texas;Houston;Men's Athletic Footwear;40.00;925;37000.00;12950.00;;Outlet
Kohl's;1197831;14/08/2020;South;Texas;Houston;Women's Street Footwear;35.00;775;27125.00;9493.75;0.35;Outlet
Kohl's;1197831;15/08/2020;South;Texas;Houston;Women's Athletic Footwear;40.00;700;28000.00;12600.00;0.45;Outlet
Kohl's;1197831;16/08/2020;South;Texas;Houston;Men's Apparel;45.00;600;27000.00;8100.00;0.3;Outlet
Kohl's;1197831;17/08/2020;South;Texas;Houston;Women's Apparel;40.00;950;38000.00;19000.00;0.5;Outlet
Kohl's;1197831;18/08/2020;South;Texas;Houston;Men's Street Footwear;40.00;950;38000.00;13300.00;0.35;Outlet
Kohl's;1197831;19/08/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;950;42750.00;14962.50;0.35;Outlet
Kohl's;1197831;20/08/2020;South;Texas;Houston;Women's Street Footwear;40.00;800;32000.00;11200.00;0.35;Outlet
Kohl's;1197831;21/08/2020;South;Texas;Houston;Women's Athletic Footwear;40.00;750;30000.00;13500.00;0.45;Outlet
Kohl's;1197831;22/08/2020;South;Texas;Houston;Men's Apparel;45.00;650;29250.00;8775.00;0.3;Outlet
Kohl's;1197831;23/08/2020;South;Texas;Houston;Women's Apparel;50.00;1.000;50000.00;25000.00;0.5;Outlet
Kohl's;1197831;24/08/2020;South;Texas;Houston;Men's Street Footwear;40.00;950;38000.00;13300.00;0.35;Outlet
Kohl's;1197831;25/08/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;950;42750.00;14962.50;;Outlet
Kohl's;1197831;26/08/2020;South;Texas;Houston;Women's Street Footwear;40.00;1.100;44000.00;15400.00;0.35;Outlet
Kohl's;1197831;27/08/2020;South;Texas;Houston;Women's Athletic Footwear;40.00;700;28000.00;12600.00;0.45;Outlet
Kohl's;1197831;28/08/2020;South;Texas;Houston;Men's Apparel;45.00;700;31500.00;9450.00;0.3;Outlet
Kohl's;1197831;29/08/2020;South;Texas;Houston;Women's Apparel;50.00;975;48750.00;24375.00;0.5;Outlet
Kohl's;1197831;30/08/2020;South;Texas;Houston;Men's Street Footwear;40.00;925;37000.00;12950.00;0.35;Outlet
Kohl's;1197831;31/08/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;925;41625.00;14568.75;0.35;Outlet
Kohl's;1197831;01/09/2020;South;Texas;Houston;Women's Street Footwear;40.00;1.100;44000.00;15400.00;0.35;Outlet
Kohl's;1197831;02/09/2020;South;Texas;Houston;Women's Athletic Footwear;40.00;650;26000.00;11700.00;0.45;Outlet
Kohl's;1197831;03/09/2020;South;Texas;Houston;Men's Apparel;45.00;650;29250.00;8775.00;0.3;Outlet
Kohl's;1197831;04/09/2020;South;Texas;Houston;Women's Apparel;50.00;900;45000.00;22500.00;0.5;Outlet
Kohl's;1197831;05/09/2020;South;Texas;Houston;Men's Street Footwear;45.00;850;38250.00;13387.50;0.35;Outlet
Kohl's;1197831;06/09/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;850;38250.00;13387.50;0.35;Outlet
Kohl's;1197831;07/09/2020;South;Texas;Houston;Women's Street Footwear;50.00;900;45000.00;15750.00;;Outlet
Kohl's;1197831;08/09/2020;South;Texas;Houston;Women's Athletic Footwear;50.00;625;31250.00;14062.50;0.45;Outlet
Kohl's;1197831;09/09/2020;South;Texas;Houston;Men's Apparel;45.00;625;28125.00;8437.50;0.3;Outlet
Kohl's;1197831;10/09/2020;South;Texas;Houston;Women's Apparel;55.00;850;46750.00;23375.00;0.5;Outlet
Kohl's;1197831;11/09/2020;South;Texas;Houston;Men's Street Footwear;45.00;800;36000.00;12600.00;0.35;Outlet
Kohl's;1197831;12/09/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;800;36000.00;12600.00;0.35;Outlet
Kohl's;1197831;13/09/2020;South;Texas;Houston;Women's Street Footwear;50.00;750;37500.00;13125.00;0.35;Outlet
Kohl's;1197831;14/09/2020;South;Texas;Houston;Women's Athletic Footwear;50.00;600;30000.00;13500.00;0.45;Outlet
Kohl's;1197831;15/09/2020;South;Texas;Houston;Men's Apparel;45.00;575;25875.00;7762.50;0.3;Outlet
Kohl's;1197831;16/09/2020;South;Texas;Houston;Women's Apparel;55.00;750;41250.00;20625.00;0.5;Outlet
Kohl's;1197831;20/10/2020;South;Texas;Houston;Men's Street Footwear;45.00;900;40500.00;14175.00;0.35;Outlet
Kohl's;1197831;21/10/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;900;40500.00;14175.00;0.35;Outlet
Kohl's;1197831;22/10/2020;South;Texas;Houston;Women's Street Footwear;50.00;825;41250.00;14437.50;0.35;Outlet
Kohl's;1197831;23/10/2020;South;Texas;Houston;Women's Athletic Footwear;50.00;675;33750.00;15187.50;0.45;Outlet
Kohl's;1197831;24/10/2020;South;Texas;Houston;Men's Apparel;45.00;650;29250.00;8775.00;;Outlet
Kohl's;1197831;25/10/2020;South;Texas;Houston;Women's Apparel;55.00;850;46750.00;23375.00;0.5;Outlet
Kohl's;1197831;26/10/2020;South;Texas;Houston;Men's Street Footwear;45.00;950;42750.00;14962.50;0.35;Outlet
Kohl's;1197831;27/10/2020;South;Texas;Houston;Men's Athletic Footwear;45.00;950;42750.00;14962.50;0.35;Outlet
Kohl's;1197831;28/10/2020;South;Texas;Houston;Women's Street Footwear;50.00;850;42500.00;14875.00;0.35;Outlet
Kohl's;1197831;29/10/2020;South;Texas;Houston;Women's Athletic Footwear;50.00;700;35000.00;15750.00;0.45;Outlet
Kohl's;1197831;30/10/2020;South;Texas;Houston;Men's Apparel;45.00;650;29250.00;8775.00;0.3;Outlet
Kohl's;1197831;31/10/2020;South;Texas;Houston;Women's Apparel;55.00;900;49500.00;24750.00;0.5;Outlet
Kohl's;1128299;01/11/2020;South;Texas;Houston;Men's Street Footwear;40.00;775;31000.00;10850.00;0.35;Outlet
Kohl's;1128299;02/11/2020;South;Texas;Houston;Men's Athletic Footwear;50.00;775;38750.00;7750.00;0.2;Outlet
Kohl's;1128299;03/11/2020;South;Texas;Houston;Women's Street Footwear;50.00;775;38750.00;13562.50;0.35;Outlet
Kohl's;1128299;04/11/2020;South;Texas;Houston;Women's Athletic Footwear;50.00;625;31250.00;9375.00;;Outlet
Kohl's;1128299;05/11/2020;West;California;San Francisco;Men's Apparel;55.00;575;31625.00;15812.50;0.5;Outlet
Kohl's;1128299;06/11/2020;West;California;San Francisco;Women's Apparel;50.00;775;38750.00;5812.50;0.15;Outlet
Kohl's;1128299;07/11/2020;West;California;San Francisco;Men's Street Footwear;40.00;825;33000.00;11550.00;0.35;Outlet
Kohl's;1128299;08/11/2020;West;California;San Francisco;Men's Athletic Footwear;50.00;725;36250.00;7250.00;0.2;Outlet
Kohl's;1128299;09/11/2020;West;California;San Francisco;Women's Street Footwear;50.00;725;36250.00;12687.50;0.35;Outlet
Kohl's;1128299;10/11/2020;West;California;San Francisco;Women's Athletic Footwear;50.00;575;28750.00;8625.00;0.3;Outlet
Kohl's;1128299;11/11/2020;West;California;San Francisco;Men's Apparel;55.00;500;27500.00;13750.00;0.5;Outlet
Kohl's;1128299;12/11/2020;West;California;San Francisco;Women's Apparel;50.00;700;35000.00;5250.00;0.15;Outlet
Kohl's;1128299;13/11/2020;West;California;San Francisco;Men's Street Footwear;50.00;850;42500.00;14875.00;0.35;Outlet
Kohl's;1128299;14/11/2020;West;California;San Francisco;Men's Athletic Footwear;60.00;700;42000.00;8400.00;0.2;Outlet
Kohl's;1128299;15/11/2020;West;California;San Francisco;Women's Street Footwear;60.00;700;42000.00;14700.00;0.35;Outlet
Kohl's;1128299;22/12/2020;West;California;San Francisco;Women's Athletic Footwear;60.00;600;36000.00;10800.00;0.3;Outlet
Kohl's;1128299;23/12/2020;West;California;San Francisco;Men's Apparel;65.00;500;32500.00;16250.00;0.5;Outlet
Kohl's;1128299;24/12/2020;West;California;San Francisco;Women's Apparel;60.00;700;42000.00;6300.00;0.15;Outlet
Kohl's;1128299;25/12/2020;West;California;San Francisco;Men's Street Footwear;60.00;875;52500.00;18375.00;0.35;Outlet
Kohl's;1128299;26/12/2020;West;California;San Francisco;Men's Athletic Footwear;65.00;675;43875.00;8775.00;0.2;Outlet
Kohl's;1128299;27/12/2020;West;California;San Francisco;Women's Street Footwear;65.00;725;47125.00;16493.75;0.35;Outlet
Kohl's;1128299;28/12/2020;West;California;San Francisco;Women's Athletic Footwear;60.00;625;37500.00;11250.00;;Outlet
Kohl's;1128299;29/12/2020;West;California;San Francisco;Men's Apparel;65.00;525;34125.00;17062.50;0.5;Outlet
Kohl's;1128299;30/12/2020;West;California;San Francisco;Women's Apparel;80.00;700;56000.00;8400.00;0.15;Outlet
Kohl's;1128299;31/12/2020;West;California;San Francisco;Men's Street Footwear;60.00;900;54000.00;21600.00;0.4;Outlet
Kohl's;1128299;01/01/2021;West;California;San Francisco;Men's Athletic Footwear;65.00;750;48750.00;12187.50;0.25;Outlet
Kohl's;1128299;02/01/2021;West;California;San Francisco;Women's Street Footwear;65.00;750;48750.00;19500.00;0.4;Outlet
Kohl's;1128299;03/01/2021;West;California;San Francisco;Women's Athletic Footwear;60.00;650;39000.00;13650.00;0.35;Outlet
Kohl's;1128299;04/01/2021;West;California;San Francisco;Men's Apparel;65.00;550;35750.00;19662.50;0.55;Outlet
Kohl's;1128299;05/01/2021;West;California;San Francisco;Women's Apparel;80.00;725;58000.00;11600.00;0.2;Outlet
Kohl's;1128299;06/01/2021;West;California;San Francisco;Men's Street Footwear;60.00;975;58500.00;23400.00;0.4;Outlet
Kohl's;1128299;07/01/2021;West;California;San Francisco;Men's Athletic Footwear;65.00;825;53625.00;13406.25;0.25;Outlet
Kohl's;1128299;08/01/2021;West;California;San Francisco;Women's Street Footwear;65.00;825;53625.00;21450.00;0.4;Outlet
Kohl's;1128299;09/01/2021;West;California;San Francisco;Women's Athletic Footwear;60.00;700;42000.00;14700.00;0.35;Outlet
Kohl's;1128299;10/01/2021;West;California;San Francisco;Men's Apparel;65.00;575;37375.00;20556.25;0.55;Outlet
Kohl's;1128299;11/01/2021;West;California;San Francisco;Women's Apparel;80.00;875;70000.00;14000.00;;Outlet
Kohl's;1128299;12/01/2021;West;California;San Francisco;Men's Street Footwear;60.00;1.025;61500.00;21525.00;0.35;Outlet
Kohl's;1128299;13/01/2021;West;California;San Francisco;Men's Athletic Footwear;65.00;875;56875.00;11375.00;0.2;Outlet
Kohl's;1128299;14/01/2021;West;California;San Francisco;Women's Street Footwear;65.00;825;53625.00;18768.75;0.35;Outlet
Kohl's;1128299;15/01/2021;West;California;San Francisco;Women's Athletic Footwear;60.00;725;43500.00;13050.00;0.3;Outlet
Kohl's;1128299;16/01/2021;West;California;San Francisco;Men's Apparel;65.00;775;50375.00;25187.50;0.5;Outlet
Kohl's;1128299;17/01/2021;West;California;San Francisco;Women's Apparel;80.00;775;62000.00;9300.00;0.15;Outlet
Kohl's;1128299;18/01/2021;West;California;San Francisco;Men's Street Footwear;65.00;975;63375.00;22181.25;0.35;Outlet
Kohl's;1128299;19/01/2021;West;California;San Francisco;Men's Athletic Footwear;70.00;925;64750.00;12950.00;0.2;Outlet
Kohl's;1128299;20/01/2021;West;California;San Francisco;Women's Street Footwear;65.00;800;52000.00;18200.00;0.35;Outlet
Kohl's;1128299;21/01/2021;West;California;San Francisco;Women's Athletic Footwear;65.00;750;48750.00;14625.00;0.3;Outlet
Kohl's;1128299;22/01/2021;West;California;San Francisco;Men's Apparel;75.00;750;56250.00;28125.00;0.5;Outlet
Kohl's;1128299;23/01/2021;West;California;San Francisco;Women's Apparel;80.00;725;58000.00;8700.00;0.15;Outlet
Kohl's;1128299;24/01/2021;West;California;San Francisco;Men's Street Footwear;55.00;925;50875.00;15262.50;0.3;Outlet
Kohl's;1128299;25/01/2021;West;California;San Francisco;Men's Athletic Footwear;60.00;925;55500.00;8325.00;;Outlet
Kohl's;1128299;26/01/2021;West;California;San Francisco;Women's Street Footwear;55.00;775;42625.00;12787.50;0.3;Outlet
Kohl's;1128299;27/01/2021;West;California;San Francisco;Women's Athletic Footwear;55.00;725;39875.00;9968.75;0.25;Outlet
Kohl's;1128299;28/01/2021;West;California;San Francisco;Men's Apparel;65.00;725;47125.00;21206.25;0.45;Outlet
Kohl's;1128299;29/01/2021;West;California;San Francisco;Women's Apparel;70.00;775;54250.00;5425.00;0.1;Outlet
Kohl's;1128299;30/01/2021;West;California;San Francisco;Men's Street Footwear;55.00;875;48125.00;14437.50;0.3;Outlet
Kohl's;1128299;31/01/2021;West;California;San Francisco;Men's Athletic Footwear;60.00;875;52500.00;7875.00;0.15;Outlet
Kohl's;1128299;01/02/2021;West;California;San Francisco;Women's Street Footwear;55.00;700;38500.00;11550.00;0.3;Outlet
Kohl's;1128299;02/02/2021;West;California;San Francisco;Women's Athletic Footwear;55.00;675;37125.00;9281.25;0.25;Outlet
Kohl's;1128299;03/02/2021;West;California;San Francisco;Men's Apparel;65.00;650;42250.00;19012.50;0.45;Outlet
Kohl's;1128299;04/02/2021;West;California;San Francisco;Women's Apparel;70.00;700;49000.00;4900.00;0.1;Outlet
Kohl's;1128299;05/02/2021;West;California;San Francisco;Men's Street Footwear;55.00;875;48125.00;14437.50;0.3;Outlet
Kohl's;1128299;06/02/2021;West;California;San Francisco;Men's Athletic Footwear;60.00;875;52500.00;7875.00;0.15;Outlet
Kohl's;1128299;07/02/2021;West;California;San Francisco;Women's Street Footwear;55.00;725;39875.00;11962.50;0.3;Outlet
Kohl's;1128299;08/02/2021;West;California;San Francisco;Women's Athletic Footwear;55.00;700;38500.00;9625.00;0.25;Outlet
Kohl's;1128299;09/02/2021;West;California;San Francisco;Men's Apparel;65.00;650;42250.00;19012.50;0.45;Outlet
Kohl's;1128299;10/02/2021;West;California;San Francisco;Women's Apparel;70.00;775;54250.00;5425.00;0.1;Outlet
Kohl's;1128299;11/02/2021;West;California;San Francisco;Men's Street Footwear;55.00;975;53625.00;16087.50;0.3;Outlet
Kohl's;1128299;12/02/2021;West;California;San Francisco;Men's Athletic Footwear;60.00;975;58500.00;8775.00;0.15;Outlet
Kohl's;1128299;13/02/2021;West;California;San Francisco;Women's Street Footwear;55.00;775;42625.00;12787.50;0.3;Outlet
Kohl's;1128299;14/02/2021;West;California;San Francisco;Women's Athletic Footwear;55.00;775;42625.00;10656.25;0.25;Outlet
Kohl's;1128299;15/02/2021;West;California;San Francisco;Men's Apparel;65.00;700;45500.00;20475.00;0.45;Outlet
Kohl's;1128299;16/02/2021;West;California;San Francisco;Women's Apparel;70.00;800;56000.00;5600.00;0.1;Outlet
Kohl's;1189833;17/02/2021;West;California;San Francisco;Men's Street Footwear;35.00;700;24500.00;9800.00;0.4;Outlet
Kohl's;1189833;18/02/2021;West;California;San Francisco;Men's Athletic Footwear;45.00;700;31500.00;7875.00;0.25;Outlet
Kohl's;1189833;09/03/2021;West;California;San Francisco;Women's Street Footwear;45.00;700;31500.00;12600.00;0.4;Outlet
Kohl's;1189833;10/03/2021;West;California;San Francisco;Women's Athletic Footwear;45.00;550;24750.00;8662.50;0.35;Outlet
Kohl's;1189833;11/03/2021;West;California;Los Angeles;Men's Apparel;50.00;500;25000.00;13750.00;0.55;Outlet
Kohl's;1189833;12/03/2021;West;California;Los Angeles;Women's Apparel;45.00;700;31500.00;6300.00;0.2;Outlet
Kohl's;1189833;13/03/2021;West;California;Los Angeles;Men's Street Footwear;35.00;750;26250.00;10500.00;0.4;Outlet
Kohl's;1189833;14/03/2021;West;California;Los Angeles;Men's Athletic Footwear;45.00;650;29250.00;7312.50;0.25;Outlet
Kohl's;1189833;15/03/2021;West;California;Los Angeles;Women's Street Footwear;45.00;675;30375.00;12150.00;0.4;Outlet
